os_is_virtual,country,os_system_id,performance_score,system_age_years,operating_system_name,operating_system_lifecycle_status,risk_level,hostname,operating_system_installation_date,image_purpose,is_internet_facing,operating_system_provider
True,Unknown,SYS-69014,51.78,4,Ubuntu 22.04,EOL,High,host-6337,2021-11-29,Testing,No,Amazon
False,INDIA,SYS-87105,94.13,13,Unknown,EOS,High,host-2945,2012-04-30,Dev,Yes,Unknown
False,USA,SYS-60183,73.82,10,z/OS,EOS,High,host-2246,2015-10-26,Production,No,Canonical
False,JAPAN,SYS-95212,58.18,8,Unknown,Unknown,Low,host-1804,2017-06-19,DR,No,Unknown
True,india,SYS-86835,52.35,3,Unknown,EOL,High,host-9757,2022-01-18,DR,Yes,Amazon
False,Unknown,SYS-37255,61.87,10,CentOS 7,Active,Low,host-5866,2015-11-07,Backup,Yes,Unknown
False,USA,SYS-74194,54.22,2,Ubuntu 22.04,EOL,High,host-1137,2023-05-27,Backup,Yes,Canonical
True,JAPAN,SYS-31982,81.17,12,SUSE Linux,EOS,High,host-6560,2013-10-04,Production,No,Canonical
True,USA,SYS-19805,80.1,10,SUSE Linux,EOS,High,host-3218,2015-10-21,Backup,Yes,Google
True,FRANCE,SYS-55445,80.24,13,AIX 7.2,Active,Low,host-6670,2012-11-01,DR,No,Google
True,INDIA,SYS-20895,97.22,11,Unknown,EOL,High,host-9818,2014-03-03,DR,Yes,Google
True,canada,SYS-24565,54.31,14,Windows Server 2019,Active,Low,host-8273,2011-10-19,Testing,Yes,Canonical
False,Unknown,SYS-60845,88.48,3,Ubuntu 22.04,EOL,High,host-6715,2022-05-21,Production,No,SUSE
True,BRAZIL,SYS-10183,65.82,7,Ubuntu 22.04,Unknown,Low,host-4819,2018-09-14,Dev,No,Microsoft
False,CANADA,SYS-16432,81.69,8,AIX 7.2,Active,Low,host-5449,2017-09-17,Dev,Yes,SUSE
False,germany,SYS-18990,67.61,6,SUSE Linux,Unknown,Low,host-7352,2019-12-31,DR,No,Unknown
False,CANADA,SYS-18586,69.11,2,Windows Server 2019,EOL,High,host-6582,2023-02-19,Dev,No,Amazon
False,JAPAN,SYS-30170,55.32,7,Ubuntu 22.04,EOL,High,host-4345,2018-12-25,Testing,No,Google
True,FRANCE,SYS-52539,91.96,2,Ubuntu 22.04,Unknown,Low,host-8228,2023-05-28,Dev,No,IBM
True,Unknown,SYS-20550,99.31,9,Unknown,EOL,High,host-6620,2016-12-30,DR,Yes,Google
True,INDIA,SYS-32679,94.41,1,Unknown,Planned,Low,host-2469,2024-09-16,DR,Yes,SUSE
True,INDIA,SYS-92187,84.73,11,SUSE Linux,EOL,High,host-7341,2014-06-08,Testing,Yes,IBM
False,JAPAN,SYS-17581,74.63,6,Windows Server 2019,Active,Low,host-5024,2019-04-04,Production,Yes,Unknown
False,india,SYS-87152,93.81,6,Windows Server 2019,EOL,High,host-2878,2019-09-15,Dev,No,Microsoft
True,usa,SYS-58127,56.55,7,z/OS,Unknown,Low,host-2606,2018-11-19,Dev,No,RedHat
True,JAPAN,SYS-37480,66.24,9,AIX 7.2,Planned,Low,host-4028,2016-06-22,Backup,Yes,Google
False,GERMANY,SYS-25283,69.98,14,z/OS,Active,Low,host-4112,2011-11-28,Production,Yes,Unknown
