transaction_id,date,country,sales_person,unit_price,product_name,units_sold,customer_rating,@timestamp,profit_margin,region,total_sales,product_category
T001,2025-07-03T17:05:00,Germany,Jane Smith,468,Jeans,8,4.2,2025-07-03T17:05:00.000+05:30,22.81,North,3744,Apparel
T003,2025-10-25T04:11:00,France,John Doe,178,Headphones,7,2.0,2025-10-25T04:11:00.000+05:30,17.18,West,1246,Electronics
T005,2025-09-16T12:20:00,Germany,Emily Davis,286,Shirt,5,1.6,2025-09-16T12:20:00.000+05:30,14.31,East,1430,Apparel
T011,2025-03-19T23:39:00,USA,Jane Smith,487,Table,13,3.4,2025-03-19T23:39:00.000+05:30,5.07,South,6331,Furniture
T014,2025-10-09T04:44:00,UK,Alice Brown,125,Bed,11,1.8,2025-10-09T04:44:00.000+05:30,17.69,West,1375,Furniture
T020,2025-02-08T02:59:00,USA,Jane Smith,140,Tablet,5,1.3,2025-02-08T02:59:00.000+05:30,23.42,West,700,Electronics
T021,2025-02-22T23:49:00,France,Emily Davis,80,Shoes,2,1.3,2025-02-22T23:49:00.000+05:30,20.15,South,160,Apparel
T023,2025-05-14T10:50:00,France,Alice Brown,331,Headphones,6,1.4,2025-05-14T10:50:00.000+05:30,11.35,West,1986,Electronics
T028,2025-04-20T12:47:00,India,Alice Brown,176,Shirt,10,1.3,2025-04-20T12:47:00.000+05:30,23.0,West,1760,Apparel
T030,2025-05-10T04:39:00,France,Bob Johnson,458,Table,9,4.9,2025-05-10T04:39:00.000+05:30,14.06,West,4122,Furniture
T036,2025-10-15T12:15:00,UK,Alice Brown,150,Headphones,13,3.5,2025-10-15T12:15:00.000+05:30,13.82,South,1950,Electronics
T037,2025-10-19T15:34:00,UK,Bob Johnson,96,Shirt,11,4.9,2025-10-19T15:34:00.000+05:30,17.53,North,1056,Apparel
T044,2025-09-21T14:00:00,France,John Doe,452,Bed,10,1.5,2025-09-21T14:00:00.000+05:30,20.98,West,4520,Furniture
T045,2025-03-26T22:05:00,USA,Bob Johnson,167,Sofa,6,3.8,2025-03-26T22:05:00.000+05:30,8.17,East,1002,Furniture
T052,2025-03-31T13:17:00,UK,John Doe,236,Tablet,18,5.0,2025-03-31T13:17:00.000+05:30,16.9,West,4248,Electronics
T054,2025-10-17T05:50:00,India,Alice Brown,358,Tablet,7,3.4,2025-10-17T05:50:00.000+05:30,13.65,East,2506,Electronics
T056,2025-02-06T05:57:00,France,Emily Davis,482,Bed,15,4.4,2025-02-06T05:57:00.000+05:30,12.13,West,7230,Furniture
T058,2025-03-09T12:49:00,USA,Bob Johnson,471,Jeans,16,2.9,2025-03-09T12:49:00.000+05:30,23.87,West,7536,Apparel
T059,2025-10-08T14:34:00,UK,Emily Davis,197,Tablet,3,1.2,2025-10-08T14:34:00.000+05:30,5.08,South,591,Electronics
T065,2025-01-09T09:41:00,Germany,Jane Smith,147,Tablet,18,3.6,2025-01-09T09:41:00.000+05:30,6.64,North,2646,Electronics
T067,2025-10-23T04:54:00,France,Jane Smith,478,Chair,9,1.0,2025-10-23T04:54:00.000+05:30,15.58,North,4302,Furniture
T068,2025-03-31T07:15:00,Germany,John Doe,79,Headphones,9,1.6,2025-03-31T07:15:00.000+05:30,18.75,East,711,Electronics
T071,2025-08-01T04:42:00,India,John Doe,450,Sofa,2,1.3,2025-08-01T04:42:00.000+05:30,8.23,West,900,Furniture
T077,2025-02-19T05:35:00,France,Alice Brown,183,Chair,5,3.2,2025-02-19T05:35:00.000+05:30,16.97,East,915,Furniture
T079,2025-07-15T05:48:00,UK,Bob Johnson,321,Table,20,2.8,2025-07-15T05:48:00.000+05:30,17.32,West,6420,Furniture
T080,2025-03-07T22:27:00,France,Jane Smith,360,Bed,14,3.2,2025-03-07T22:27:00.000+05:30,12.62,South,5040,Furniture
T081,2025-10-24T15:15:00,Germany,Bob Johnson,114,Smartphone,1,4.8,2025-10-24T15:15:00.000+05:30,11.27,East,114,Electronics
